section	study_id	study_url	link	TPA	IAA	dev set	CC_related	label	sublabel	additional label	additional sulabel	tag1	tag2	other tags (; separated)	explanation																		
aquatic_evaluation	MGYS00003602	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003602#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003602#overview	1	0	0	no								"Studies hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA"																		
aquatic_evaluation	MGYS00003603	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003603#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003603#overview	1	0	0	no								"Studies marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean"																		
aquatic_evaluation	MGYS00003611	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003611#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003611#overview	1	0	0	no								"Studies marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean"																		
aquatic_evaluation	MGYS00003613	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003613#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003613#overview	1	0	0	no								"Studies coastal seawater microbial communities from Marineland, Florida, United States"																		
aquatic_evaluation	MGYS00003614	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003614#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003614#overview	1	0	0	no								"Studies coastal seawater microbial communities from Marineland, Florida, United States"																		
aquatic_evaluation	MGYS00003616	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003616#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003616#overview	1	0	0	no								Studies estuarine microbial communities from the Columbia River estuary																		
aquatic_evaluation	MGYS00003630	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003630#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003630#overview	1	0	0	no								"Studies Chrysochromulina tobin associated microbial communities from unialgal haptophyte culture, Seattle, Washington, United States"																		
aquatic_evaluation	MGYS00003631	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003631#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003631#overview	1	0	0	no								"Studies Chrysochromulina tobin associated microbial communities from unialgal haptophyte culture, Seattle, Washington, United States"																		
aquatic_evaluation	MGYS00003632	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003632#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003632#overview	1	0	0	no								"Studies Chrysochromulina tobin associated microbial communities from unialgal haptophyte culture, Seattle, Washington, United States"																		
aquatic_evaluation	MGYS00003633	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003633#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003633#overview	1	0	0	no								"Studies Chrysochromulina tobin associated microbial communities from unialgal haptophyte culture, Seattle, Washington, United States"																		
aquatic_evaluation	MGYS00003635	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003635#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003635#overview	1	0	0	no								Studies pelagic microbial community sample from North Sea																		
aquatic_evaluation	MGYS00003636	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003636#overview	https://www.ebi.ac.uk/metagenomics/studies/MGYS00003636#overview	1	0	0	no								Studies oceanic oxygen minimum zone microbial communities that regulate carbon cycling																		
